Id,Barcode,Item Name,Category,Supplier ID,Cost Price,Unit Price,Tax 1 Name,Tax 1 Percent,Tax 2 Name,Tax 2 Percent,Reorder Level,Description,Allow Alt Description,Item has Serial Number,Image,HSN,location_stock,location_stock2
,,HOVINAT. PURGALAX,Vitaminas,,1.5,3,,,,,5,0,,,,,10,
,,BIO ALOE VERA,Vitaminas,,0.5,1,,,,,5,0,,,,,3,
,,ALUMBRE EN PIEDRA,Vitaminas,,1.5,3,,,,,5,0,,,,,6,
,,KIRKLAND. ACEITE DE COCO,Vitaminas,,3,6,,,,,5,200 ML,,,,,2,
,,KIRKLAND. ACEITE DE COCO,Vitaminas,,7,14,,,,,5,500 ML,,,,,2,
,,VITAPLANT. BEN Y PARAISO,Vitaminas,,2,4,,,,,5,0,,,,,1,
,,VITAPLANT. MAPURITE,Vitaminas,,3,6,,,,,5,0,,,,,2,
,,VITAPLANT. ORTIGA,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,VITAPLANT. ZARZAPARRILLA,Vitaminas,,2.5,5,,,,,5,45 CAPSULAS,,,,,2,
,,VITAPLANT. QUINCHONCHO,Vitaminas,,2.5,5,,,,,5,45 CAPSULAS,,,,,2,
,,VITAPLANT. SABILA,Vitaminas,,3,6,,,,,5,45 CAPSULAS 230 MG,,,,,2,
,,VITAPLANT. VALERIANA,Vitaminas,,3,6,,,,,5,330 MG 45 CAPSULAS,,,,,2,
,,VITAPLANT. LOCHITA,Vitaminas,,3.5,7,,,,,5,45 CAPSULAS,,,,,2,
,,VITAPLANT. UñA DE GATO ,Vitaminas,,3,6,,,,,5,200 MG 45 TABLETAS,,,,,2,
,,VITAPLANT. DOLOMITA,Vitaminas,,2.5,5,,,,,5,45 CAPSULAS ,,,,,2,
,,VITAPLANT. PASIFLORA,Vitaminas,,2.5,5,,,,,5,120 ML,,,,,2,
,,VITAPLANT. TOTUMO,Vitaminas,,2.5,5,,,,,5,120 ML,,,,,2,
,,VITAPLANT. ACHICORIA,Vitaminas,,2.5,5,,,,,5,120 ML,,,,,2,
,,FLEX-A-MIN,Vitaminas,,2.5,5,,,,,5,70 TABLETAS,,,,,1,
,,GOTAS DE QUINCHONCHO,Vitaminas,,2,4,,,,,5,0,,,,,5,
,,MELADO EXPECTORANTE NATURAL,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,"BERRO CON CEBOLLA, EXPECTORANTE ANTICATARRAL (NACIONAL)",Vitaminas,,2,4,,,,,5,0,,,,,5,
,,SANATORE. PECTORAL DE BERRO,Vitaminas,,2,4,,,,,5,0,,,,,6,
,,CHUPA PANZA,Vitaminas,,7.5,15,,,,,5,500 MG 100 CAP,,,,,2,
,,AGUAJE,Vitaminas,,7.5,15,,,,,5,500 MG 100 CAP,,,,,2,
,,FENOGRECO,Vitaminas,,7.5,15,,,,,5,500 MG 100 CAP,,,,,3,
,,"AGUAJE HINOJO, MACA TRIPLE",Vitaminas,,7.5,15,,,,,5,500 MG 100 CAP,,,,,2,
,,N-FITINA FOSFORO,Vitaminas,,2.5,5,,,,,5,50 TABLETAS,,,,,3,
,,VITA-CEREBRINA FRANCE,Vitaminas,,2.5,5,,,,,5,50 TABLETAS,,,,,3,
,,15 PLANTAS,Vitaminas,,2.5,5,,,,,5,120 ML,,,,,2,
,,MEQUILAB. ACHICORIA,Vitaminas,,2.5,5,,,,,5,0,,,,,4,
,,ARTESANA. CHAMPU DE COCO,Vitaminas,,2,4,,,,,5,400 ML,,,,,2,
,,JENGIMMIEL,Vitaminas,,2.5,5,,,,,5,120 ML,,,,,2,
,,ARTESANA. CHAMPU DE ALMENDRA,Vitaminas,,2,4,,,,,5,400 ML,,,,,2,
,,ARTESANA. CHAMPU DE MANZANILLA,Vitaminas,,2,4,,,,,5,400 ML,,,,,2,
,,ARTESANA. CHAMPU DE CAYENA,Vitaminas,,2,4,,,,,5,400 ML,,,,,2,
,,ARTESANA. CHAMPU DE ORTIGA,Vitaminas,,2,4,,,,,5,400 ML,,,,,2,
,,ARCILLA BEBIBLE,Vitaminas,,2,4,,,,,5,100 G,,,,,2,
,,"COLON CLEANSER, TE MEDICINAL",Vitaminas,,5,10,,,,,5,450 G,,,,,3,
,,ARTRISOL,Vitaminas,,2,4,,,,,5,700 ML,,,,,2,
,,SANGRE DE TORO,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,ELIXIR ANTINERVIOSO,Vitaminas,,2,4,,,,,5,0,,,,,4,
,,VIDANAT. CIRCULACION SANGUINEA,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,DEPURATIVO AMAZONA NATURAL,Vitaminas,,2,4,,,,,5,0,,,,,3,
,,607 GRAN DEPURADOR SANGUINEO,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,PH 5.5 PLUS (GASTRITIS),Vitaminas,,3,6,,,,,5,0,,,,,2,
,,JARABE DE ZARZAPARRILLA 12 EXTRACTOS,Vitaminas,,3,6,,,,,5,500 ML,,,,,3,
,,VIDANAT. EXTRACTO DE ZARZAPARRILLA AMAZONICA,Vitaminas,,2,4,,,,,5,0,,,,,3,
,,PLANTAS CURATIVAS,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,PODERSO DEPURATIVO INDIGENA NATURAL NUEVA ERA 777,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,DEPURATIVO NATURAL VIGOR,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,SANATORE FEMYGEN,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,ELIXIR GINECOLOGICO,Vitaminas,,2,4,,,,,5,0,,,,,3,
,,DEPURATIVO POSIMA 47 PLANTAS,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,VINO DEPURATIVO REJUVENECEDOR SIEMPRE JOVEN,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,PROSTAVID,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,PIERDA BARRIGA,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,ELIXIR ESTOMACAL,Vitaminas,,2,4,,,,,5,0,,,,,3,
,,COLON SALUDABLE,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,COLONKLIN,Vitaminas,,2,4,,,,,5,0,,,,,3,
,,VIDANAT. RIÑOGEN,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,SAL MARINA (FINA),Vitaminas,,1.5,3,,,,,5,0,,,,,2,
,,SAL MARINA (GRUESA),Vitaminas,,2,3,,,,,5,0,,,,,2,
,,QUENOPODIO,Vitaminas,,1.5,3,,,,,5,0,,,,,6,
,,RUIBARBO,Vitaminas,,0.5,1,,,,,5,0,,,,,9,
,,FENOGRECO,Vitaminas,,0.5,1,,,,,5,0,,,,,3,
,,CAPSULAS DE SABILA,Vitaminas,,0.75,1.5,,,,,5,10 CAPSULAS,,,,,4,
,,ACIDO BORICO,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,YEDRA DE ALUMBRE,Vitaminas,,0.35,0.7,,,,,5,0,,,,,2,
,,BIO ADELGAMAX MISS VENEZUELA,Vitaminas,,0.5,1,,,,,5,0,,,,,2,
,,PIÑA Y LINAZA,Vitaminas,,0.5,1,,,,,5,10 CAPSULAS,,,,,3,
,,BIO ALOE VERA LINAZA,Vitaminas,,0.5,1,,,,,5,0,,,,,1,
,,BIO ALOE VERA PIÑA Y LINAZA,Vitaminas,,0.5,1,,,,,5,0,,,,,3,
,,BIO CASTAÑA DE INDIA,Vitaminas,,0.5,1,,,,,5,0,,,,,4,
,,DGUSTICOS SNACKS. MANI SALADO,Vitaminas,,0.5,1,,,,,5,0,,,,,2,
,,TORONJIL,Vitaminas,,0.5,1,,,,,5,0,,,,,5,
